,depth (m),bitdepth (m),hook_load (klb),wob (klb),rpm,torque,rop ,flowin (gal/stk),spp (psi),ChockePressure (psi),flowout (%),SPM1 (spm),SPM2 (spm),pitlevel1 (bbl),pitlevel2 (bbl),pitlevel3 (bbl),pitlevel4 (bbl),pitlevel5 (bbl),pitlevel6 (bbl),pitlevel7 (bbl),totalpitlevel (bbl),RPMAnalog,BlockPosition,RPMTotal,H2S (ppm),Kick,Well_Number
110,56.38,37.0,24.0,0.0,,0.0,0,0,0.0,0.0,0.0,0.0,0.0,48.0,87.0,90.0,80.0,90.0,102.0,2.0,497.0,0.0,18.0,0.0,0.0,0.0,0
111,56.38,37.0,24.0,0.0,,0.0,0,0,0.0,0.0,0.0,0.0,0.0,48.0,87.0,90.0,80.0,90.0,102.0,2.0,497.0,0.0,10.0,0.0,0.0,0.0,0
112,56.38,27.0,37.0,0.0,,0.0,0,0,0.0,0.0,0.0,0.0,0.0,48.0,86.0,90.0,80.0,90.0,102.0,2.0,496.0,0.0,8.0,0.0,0.0,0.0,0
113,56.38,19.0,34.0,0.0,,0.0,0,0,0.0,0.0,0.0,0.0,0.0,48.0,86.0,90.0,80.0,90.0,102.0,2.0,496.0,0.0,18.0,0.0,0.0,0.0,0
114,56.38,19.0,24.0,0.0,,0.0,0,0,0.0,0.0,0.0,0.0,0.0,48.0,86.0,90.0,80.0,90.0,102.0,2.0,496.0,0.0,19.0,0.0,0.0,0.0,0
115,56.38,19.0,24.0,0.0,,0.0,0,0,0.0,0.0,0.0,0.0,0.0,48.0,86.0,90.0,80.0,90.0,102.0,2.0,496.0,0.0,19.0,0.0,0.0,0.0,0
116,56.38,19.0,24.0,0.0,,0.0,0,0,0.0,0.0,0.0,0.0,0.0,48.0,86.0,90.0,80.0,90.0,102.0,2.0,496.0,0.0,19.0,0.0,0.0,0.0,0
117,56.38,19.0,25.0,0.0,,0.0,0,0,0.0,0.0,0.0,0.0,0.0,48.0,86.0,90.0,80.0,90.0,102.0,2.0,496.0,0.0,19.0,0.0,0.0,0.0,0
118,56.38,19.0,24.0,0.0,,0.0,0,0,0.0,0.0,0.0,0.0,0.0,48.0,86.0,90.0,80.0,90.0,102.0,2.0,496.0,0.0,17.0,0.0,0.0,0.0,0
119,56.38,14.0,29.0,0.0,,0.0,0,0,0.0,0.0,0.0,0.0,0.0,48.0,86.0,90.0,80.0,90.0,102.0,2.0,496.0,0.0,3.0,0.0,0.0,0.0,0
120,56.38,1.0,35.0,0.0,,0.0,0,0,0.0,0.0,0.0,0.0,0.0,48.0,86.0,90.0,80.0,90.0,102.0,2.0,496.0,0.0,16.0,0.0,0.0,0.0,0
121,56.38,1.0,25.0,0.0,,0.0,0,0,0.0,0.0,0.0,0.0,0.0,48.0,86.0,90.0,80.0,90.0,102.0,2.0,496.0,0.0,19.0,0.0,0.0,0.0,0
122,56.38,1.0,25.0,0.0,,0.0,0,0,0.0,0.0,0.0,0.0,0.0,48.0,86.0,90.0,80.0,91.0,102.0,2.0,497.0,0.0,19.0,0.0,0.0,0.0,0
123,56.38,1.0,24.0,0.0,,0.0,0,0,0.0,0.0,0.0,0.0,0.0,48.0,86.0,90.0,80.0,90.0,102.0,2.0,496.0,0.0,14.0,0.0,0.0,0.0,0
